name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude,provinsi
"Spesialis Kesehatan Jiwa (Psikiater) DR Dr Dharmawan Purnama, SpKJ dan Rekan",Psychiatrist,"spesialis kesehatan jiwa (psikiater) dr dr dharmawan purnama, spkj dan rekan, rs gading pluit, jl. boulevard timur, rt.5/rw.2, rt5/rw2, kec. klp. gading, jkt utara, daerah khusus ibukota jakarta 14250, indonesia",http://www.infopsikiater.blogspot.com/,+62 21 4521001,0.0,17.0,106.91603,-6.1663741,DKI Jakarta
Tes Minat dan Bakat,Psychologist,"tes minat dan bakat, jl. mesjid bendungan jl. dewi sartika no.28a, rt.2/rw.7, cawang, kec. kramat jati, kota jakarta timur, daerah khusus ibukota jakarta 13630, indonesia",http://tesminatdanbakat.com/,+62 851-0140-3939,5.0,1.0,106.8662191,-6.254155,DKI Jakarta
Pela 9 Education Center,Psychologist,"pela 9 education center, jl. kemang utara no.17a, rt.7/rw.1, bangka, mampang prapatan, south jakarta city, jakarta 12730, indonesia",http://www.klinikpela9.com/,+62 21 22718661,0.0,12.0,106.8179953,-6.2569709,DKI Jakarta
"Praktek Konsultasi Psikolog Bekasi ""P2Japsi""",Psychologist,"praktek konsultasi psikolog bekasi ""p2japsi"", jl. harapan indah raya blok ca no.16b, rt.008/rw.019, pejuang, kecamatan medan satria, kota bks, jawa barat 17131, indonesia",tidak diketahui,+62 819-0112-2321,5.0,19.0,106.9806848,-6.180799,Jawa Barat
Smart Mind Center RS Gading Pluit,Mental health clinic,"smart mind center rs gading pluit, rs gading pluit, jl. boulevard timur, rt.5/rw.2, klp. gading tim., jakarta, jkt utara, daerah khusus ibukota jakarta 14250, indonesia",tidak diketahui,+62 818-334-435,0.0,8.0,106.9159621,-6.1664102,DKI Jakarta
SAUH (Sahabat Satu Hati) Psychological Services,Psychologist,"sauh (sahabat satu hati) psychological services, jl. jatipadang iii no.kav. 37, rt.7/rw.3, jati padang, jakarta, south jakarta city, jakarta 12540, indonesia",http://www.sauh.co.id/,+62 21 27808558,0.0,9.0,106.828599,-6.2888103,DKI Jakarta
"Psikolog Pendidikan Anak, Remaja & Keluarga",Psychologist,"psikolog pendidikan anak, remaja & keluarga, jl. cikoko tim. ii no.32, rt.4/rw.2, cikoko, kec. pancoran, kota jakarta selatan, daerah khusus ibukota jakarta 12770, indonesia",tidak diketahui,+62 877-7168-6326,5.0,1.0,106.8565131,-6.2446888,DKI Jakarta
Biro Psikologi ANDA,Psychologist,"biro psikologi anda, jl. antara no.21 7, rt.7/rw.1, ps. baru, kecamatan sawah besar, kota jakarta pusat, daerah khusus ibukota jakarta 10710, indonesia",tidak diketahui,+62 21 22345276,0.0,2.0,106.8323146,-6.1664855,DKI Jakarta
RaQQi-Human Development,Psychologist,"raqqi-human development, no, jl. tebet barat ix no.11, rt.7/rw.5, tebet bar., kec. tebet, kota jakarta selatan, daerah khusus ibukota jakarta 12810, indonesia",tidak diketahui,+62 21 85585261,5.0,1.0,106.8508118,-6.2384667,DKI Jakarta
Lembaga Pengkajian Psikologi,Psychologist,"lembaga pengkajian psikologi, no 13760, jl. kesehatan no.08, rt.5/rw.11, gedong, kec. ps. rebo, kota jakarta timur, daerah khusus ibukota jakarta 13760, indonesia",tidak diketahui,+62 21 98121337,4.0,1.0,106.8592116,-6.3049155,DKI Jakarta
"Sylvia Detri Elvira, dr., SpKJ (K)",Psychiatrist,"sylvia detri elvira, dr., spkj (k), jl. pangeran diponegoro no. 71, kenari, senen, rw. 5, rw.5, kenari, kec. senen, kota jakarta pusat, daerah khusus ibukota jakarta 10430, indonesia",http://www.rscm.co.id/,+62 21 500135,0.0,8.0,106.8482474,-6.1960498,DKI Jakarta
Tes Psikologi PRiADI Jakarta,Psychologist,"tes psikologi priadi jakarta, kantorkuu, jl. h. r. rasuna said no.7, rt.7/rw.4, kuningan tim., kecamatan setiabudi, kota jakarta selatan, daerah khusus ibukota jakarta 12950, indonesia",http://www.priadi.id/,+62 812-2082-122,0.0,5.0,106.8336973,-6.2291843,DKI Jakarta
Biro Psikologi TALENTA,Psychologist,"biro psikologi talenta, jl. h. bumin hasan no.40, rt.034, jelutung, jambi city, jambi 36136, indonesia",tidak diketahui,+62 811-7456-270,0.0,10.0,103.6149153,-1.6127606,Jambi
Praktek Psikolog Dian Syafitrah,Psychologist,"praktek psikolog dian syafitrah, jl. ki bajuri, talang bakung, jambi selatan, jambi city, jambi 36127, indonesia",tidak diketahui,+62 853-8186-0113,5.0,2.0,103.6442672,-1.6277317,Jambi
"Praktik Psikolog Yashika Angesti Faradhiga M. Psi., Psikolog",Psychologist,"praktik psikolog yashika angesti faradhiga m. psi., psikolog, jalan damai utama, lrg. pinang jaya no.rt. 17, bakung jaya, paal merah, kota jambi, jambi 36139, indonesia",tidak diketahui,+62 812-7834-8661,5.0,3.0,103.6637225,-1.6242865,Jambi
Omah Sejiwa,Psychologist,"omah sejiwa, jl. kh ahmad dahlan no.56, beringin, pasar jambi, jambi city, jambi 36124, indonesia",https://www.instagram.com/omah_sejiwa?igsh=MW1sN2pyeWFtbXdzdQ==,+62 853-6739-6748,5.0,2.0,103.6093757,-1.5957433,Jambi
Klinik Psikologi RS Rapha Theresia,Mental health clinic,"8jc7+6cq klinik psikologi rs rapha theresia, kenali asam bawah, kec. kota baru, kota jambi, jambi, indonesia",tidak diketahui,tidak diketahui,5.0,7.0,103.6135951,-1.6794007,Jambi
"Praktek Psikolog Diah, M.Psi., Psikolog",Psychologist,"praktek psikolog diah, m.psi., psikolog, jl. iswahyudi no.114, pasir putih, jambi selatan, jambi city, jambi 36126, indonesia",https://linktr.ee/psikologdiah,+62 821-8443-3004,5.0,4.0,103.6412145,-1.6234901,Jambi
Altruisme Biro Psikologi (Praktek Psikolog),Psychologist,"5fg9+jfm altruisme biro psikologi (praktek psikolog), tungkal ii, kec. tungkal ilir, kabupaten tanjung jabung barat, jambi, indonesia",tidak diketahui,tidak diketahui,5.0,13.0,103.4686875,-0.8234375,Jambi
Inspirasi Sehati Biro Psikologi,Psychologist,"inspirasi sehati biro psikologi, lorong kolombia no.35, simpang iii sipin, kec. kota baru, kota jambi, jambi 36124, indonesia",tidak diketahui,tidak diketahui,5.0,2.0,103.5956375,-1.6221887,Jambi
Bina Jatidiri Madiri,Psychiatrist,"9jq4+jcm bina jatidiri madiri, jl. samsu bahrun, lebak bandung, lb. bandung, kec. jelutung, kota jambi, jambi 36124, indonesia",tidak diketahui,+62 741 61046,5.0,1.0,103.606041,-1.610921,Jambi
Klinik Dr. Asianto Supargo,Psychiatrist,"klinik dr. asianto supargo, jl. pangeran diponegoro, sulanjana, east jambi, jambi city, jambi 36123, indonesia",tidak diketahui,+62 741 23977,5.0,9.0,103.6224725,-1.596317,Jambi
Praktek Psikolog,Psychologist,"p4hj+6vr praktek psikolog, jl. 23, perintis, kec. rimbo bujang, kabupaten tebo, jambi 37553, indonesia",tidak diketahui,+62 821-8465-1883,5.0,2.0,102.1321463,-1.2718786,Jambi
Rumah Sakit Jiwa Jambi,Mental health service,"rumah sakit jiwa jambi, jl. dr. purwadi no.km. 9,5, kenali besar, alam barajo, jambi city, jambi 36129, indonesia",tidak diketahui,+62 741 580254,0.0,85.0,103.5517973,-1.6144399,Jambi
Primera Psychological Consulting & Assessment Center,Psychologist,"primera psychological consulting & assessment center, apotek panasea new, jl. sunan giri no.rt 05 lt. 2, simpang iii sipin, kec. kota baru, kota jambi, jambi 36124, indonesia",tidak diketahui,tidak diketahui,5.0,1.0,103.5951397,-1.621163,Jambi
Praktek psikolog - Anahata Layanan Psikologi (Sri Suci),Psychologist,"praktek psikolog - anahata layanan psikologi (sri suci), jl. srisuci no.22, ancol, regol, bandung city, west java 40254, indonesia",tidak diketahui,+62 821-3868-1319,0.0,41.0,107.6154414,-6.9405467,Jawa Barat
Yayasan Praktek Psikolog Indonesia Cabang Bandung,Psychologist,"yayasan praktek psikolog indonesia cabang bandung, graha mulia sejahtera, jl. terusan jakarta no.175 a, antapani kulon, kec. antapani, kota bandung, jawa barat 40291, indonesia",http://www.praktekpsikolog.com/,+62 812-1345-8601,0.0,14.0,107.6578919,-6.9128789,DKI Jakarta
Terapi & Konsultasi Psikologi Riscka - Hipnoterapi Garut (Wahana Bahagia Psychology Consultant),Psychologist,"terapi & konsultasi psikologi riscka - hipnoterapi garut (wahana bahagia psychology consultant), jl. otista, tarogong, south tarogong, garut regency, west java 44151, indonesia",https://www.wahanabahagia.com/,+62 852-4516-2629,0.0,91.0,107.8869553,-7.1911032,Jawa Barat
Klinik Psikologi Anak & Remaja KEMBANG PELANGI,Psychotherapist,"klinik psikologi anak & remaja kembang pelangi, jl. siliwangi no.4, dago, kecamatan coblong, kota bandung, jawa barat 40135, indonesia",tidak diketahui,+62 821-2074-3089,5.0,1.0,107.6131083,-6.8846517,Jawa Barat
Praktek Psikolog Riyanda Utari S.Psi M.Psi Psikolog,Psychologist,"praktek psikolog riyanda utari s.psi m.psi psikolog, kamper elok. 1 cluster kamper bumi panyawangan cileunyi 40263, kabupaten bandung, jawa barat 40623, indonesia",tidak diketahui,+62 817-9292-462,0.0,21.0,107.7394727,-6.9439151,Jawa Barat
Praktek Psikolog Novy Yulianty,Psychologist,"praktek psikolog novy yulianty, komplek padasuka indah a-2, rt.02/rw.13, padasuka, kec. cimahi tengah, kota cimahi, jawa barat 40526, indonesia",tidak diketahui,+62 818-0200-1033,0.0,22.0,107.5258731,-6.8696296,Jawa Barat
Psikolog Bandung (Magnaka Psikologi 1),Psychologist,"psikolog bandung (magnaka psikologi 1), gang wirabrata jl. pasundan no.49, balonggede, regol, bandung city, west java 40251, indonesia",https://www.psikologbandung.com/gmb1/,+62 811-1510-900,0.0,36.0,107.6088323,-6.9245923,Jawa Barat
Lembaga Psikologi Grahita Indonesia Cabang Garut,Psychologist,"lembaga psikologi grahita indonesia cabang garut, jl. panawuan no.058 rt04, rw.07, sukajaya, kec. tarogong kidul, kabupaten garut, jawa barat 44151, indonesia",https://grahita.org/,+62 812-2275-3058,0.0,787.0,107.8853113,-7.2142797,Jawa Barat
Biro Psikologi Psy Center,Psychologist,"biro psikologi psy center, jl. purwakarta no.148, antapani kidul, antapani, bandung city, west java 40291, indonesia",tidak diketahui,+62 813-2200-1987,5.0,12.0,107.656931,-6.9173714,Jawa Barat
Existensi Biro Psikologi,Psychologist,"existensi biro psikologi, jl. kantor batu no.19, rt.03/rw.08, paledang, bogor tengah, bogor city, west java 16122, indonesia",http://existensi.id/,+62 251 8335420,0.0,250.0,106.7917375,-6.598702,Jawa Barat
Lembaga Jasa Psikologi Karawang - Deepa Psikologi,Psychologist,"lembaga jasa psikologi karawang - deepa psikologi, universitas singaperbangsa karawang, jl. ronggowaluyo, perumahan mahkota regency, depan no.mor 18 blok k1, sirnabaya, telukjambe timur, karawang, jawa barat 41361, indonesia",https://deepapsikologi.com/,+62 852-9140-7885,0.0,181.0,107.3066638,-6.3261167,Jawa Barat
Psychology Institution Astagina Praptama,Psychologist,"psychology institution astagina praptama, blok a3 no 28, jl. griya timur indah raya, jatimulya, tambun selatan, bekasi regency, west java 17510, indonesia",http://www.astaginapraptama.com/,+62 816-1773-3333,0.0,53.0,107.0256973,-6.278616,Jawa Barat
"Tempat Psikotes, Konsultasi Psikologi, Tes Iq, Tes Minat Bakat",Psychologist,"tempat psikotes, konsultasi psikologi, tes iq, tes minat bakat, sebelah hotel bogor icon, jl. bukit cimanggu city raya ruko ke-10 no.42 blok a1, cibadak, kec. tanah sereal, kota bogor, jawa barat 16166, indonesia",https://klinikpsikologi.com/,+62 853-7430-3939,0.0,57.0,106.7823691,-6.5554436,Jawa Barat
Pusat Pelayanan Psikologi Namirah,Psychologist,"pusat pelayanan psikologi namirah, jl. sariasih ii no.1, sarijadi, sukasari, bandung city, west java 40151, indonesia",tidak diketahui,+62 815-7157-715,0.0,38.0,107.5773803,-6.8751044,Jawa Barat
Biro Psikologi Rumah Cinta,Psychologist,"biro psikologi rumah cinta, jalan raya pemda-karadenan no.25 rt 001/004, karadenan, kec. cibinong, kabupaten bogor, jawa barat 16913, indonesia",https://biropsikologirumahcinta.com/,+62 817-9803-739,0.0,21.0,106.8080244,-6.5201984,Jawa Barat
Pusat Inovasi Psikologi (Previously Biro Pelayanan & Inovasi Psikologi),Psychologist,"pusat inovasi psikologi (previously biro pelayanan & inovasi psikologi), jl. ir. h. juanda no.438-b, dago, coblong, bandung city, west java 40135, indonesia",https://www.pipunpad.id/,+62 22 2533431,0.0,95.0,107.6205271,-6.8696642,Jawa Barat
Konsultasi Psikologi,Psychologist,"konsultasi psikologi, jl. bekamin no.18, cikutra, kec. cibeunying kidul, kota bandung, jawa barat 40124, indonesia",tidak diketahui,+62 22 7230425,0.0,6.0,107.6413571,-6.9013102,Jawa Barat
"Praktek Psikolog Artika Mulyaning Tyas, M.Psi, Psikolog",Psychologist,"praktek psikolog artika mulyaning tyas, m.psi, psikolog, sukanagalih, pacet, cianjur regency, west java 43253, indonesia",tidak diketahui,+62 877-3881-0859,5.0,6.0,107.0561689,-6.7012882,Jawa Barat
Psikolog Bandung (Magnaka Psikologi 2),Psychologist,"psikolog bandung (magnaka psikologi 2), komplek taman melati no.4 blok d3, pasir impun, kec. cimenyan, kabupaten bandung, jawa barat 40191, indonesia",https://www.psikologbandung.com/gmb2/,+62 811-1510-900,5.0,141.0,107.6766165,-6.8885291,Jawa Barat
"Praktik Psikologi Tenny Septiani Rachman, M.Psi",Psychologist,"praktik psikologi tenny septiani rachman, m.psi, hasanah town house, jl. wadas raya, pancoran mas, pancoran mas, depok city, west java 16436, indonesia",tidak diketahui,+62 856-9746-7330,5.0,14.0,106.8015308,-6.4045931,Jawa Barat
Psikolog Bandung (Magnaka Psikologi 3),Psychologist,"psikolog bandung (magnaka psikologi 3), jl. pasundan no.49, rt.003/rw.004, balonggede, regol, bandung city, west java 40251, indonesia",https://www.psikologbandung.com/,+62 821-1975-3185,5.0,12.0,107.6088512,-6.9245759,Jawa Barat
Praktik Psikolog Resty,Psychotherapist,"praktik psikolog resty, 9qmj+g48, cluster citra park, kebun raya residence, rt.03/rw.02, pasirkuda, ciomas, bogor city, west java 16610, indonesia",tidak diketahui,+62 813-8900-5059,5.0,13.0,106.7803026,-6.6161765,Jawa Barat
Endra Nawawi. S. Psi. M. Psi. Psikolog,Psychologist,"endra nawawi. s. psi. m. psi. psikolog, indihiang, kec. indihiang, kab. tasikmalaya, jawa barat 46151, indonesia",tidak diketahui,+62 812-2054-077,5.0,523.0,108.198543,-7.2993182,Jawa Barat
d'Fun Station,Psychologist,"d'fun station, istana pasteur regency, ruko jl. tol pasteur no.51 blok cra, sukaraja, kec. cicendo, kota bandung, jawa barat 40175, indonesia",http://www.dfunstation.com/,+62 859-5600-0087,0.0,371.0,107.5738218,-6.8908772,Jawa Barat
ZR Psychology Consulting,Psychologist,"zr psychology consulting, perum bale kembang, jl. dayeuh handap, b7, kota kulon, kec. garut kota, kabupaten garut, jawa barat 44118, indonesia",http://himpsijawabarat.org/biro-psikologi-di-jawa-barat/,+62 812-2277-7086,5.0,34.0,107.9026723,-7.2207561,Jawa Barat
PSYCENTER MEDIKA ANTAPANI,Psychologist,"psycenter medika antapani, jl. purwakarta no.3, babakan surabaya, antapani, bandung city, west java 40291, indonesia",tidak diketahui,+62 812-1494-500,4.0,4.0,107.6519438,-6.9137724,Jawa Barat
"Tree's Child Psychology Erika H.B., S.Psi, M.Psi, Psikolog",Psychologist,"tree's child psychology erika h.b., s.psi, m.psi, psikolog, jl. antamaya no.6, mekarwangi, bojongloa kidul, bandung city, west java 40237, indonesia",https://instagram.com/treesconsulting?utm_source=qr&igshid=MzNlNGNkZWQ4Mg%3D%3D,+62 821-2981-3338,0.0,25.0,107.5966214,-6.9569058,Jawa Barat
Eva Sadrina,Psychologist,"eva sadrina, ruko duta regency, jl. cihanjuang no.d47, cibabat, cimahi utara, cimahi city, west java 40513, indonesia",tidak diketahui,+62 812-2360-925,0.0,20.0,107.5539586,-6.8743283,Jawa Barat
ASERA THERAPY CENTER TERAPI WICARA - FISIOTERAPI - PSIKOLOGI KLINIS - OKUPASI TERAPI,Psychologist,"asera therapy center terapi wicara - fisioterapi - psikologi klinis - okupasi terapi, jalan bima blok sukamekar, rt.29/rw.19, cigadung, kec. subang, kabupaten subang, jawa barat 41211, indonesia",tidak diketahui,+62 812-8528-3051,5.0,18.0,107.749372,-6.5628024,Jawa Barat
Grahita Indonesia Cianjur,Psychologist,"grahita indonesia cianjur, sukataris, karangtengah, cianjur regency, west java 43281, indonesia",tidak diketahui,+62 896-6124-6494,0.0,29.0,107.1629113,-6.7930061,Jawa Barat
Ibunda.id - Konseling Bandung,Psychologist,"ibunda.id - konseling bandung, jl. tanjungsari asri tengah no.4, antapani wetan, kec. antapani, kota bandung, jawa barat 40291, indonesia",https://ibunda.id/,+62 819-1523-7935,0.0,54.0,107.6669586,-6.9116495,Jawa Barat
Persona Digitasi Psikologi,Psychologist,"persona digitasi psikologi, surapati core, jl. khp hasan mustopa no.39 blok m. 21, pasirlayung, kec. cibeunying kidul, kota bandung, jawa barat 40192, indonesia",http://persona.co.id/,+62 22 7103720,5.0,8.0,107.653108,-6.8995532,Jawa Barat
Firdaus Amany Psychological Centre,Psychologist,"firdaus amany psychological centre (dengan perjanjian melalui whatsapp), kompleks baturaden technoregency no.i 1, mekarjaya, rancasari, bandung city, west java 40287, indonesia",tidak diketahui,+62 821-2341-0432,5.0,7.0,107.6635511,-6.9634264,Jawa Barat
Praktek Psikolog Indonesia Kota Bogor,Psychologist,"praktek psikolog indonesia kota bogor, reaksi office, jl. palayu raya no.2, rt.5/rw.10, tegal gundil, kec. bogor utara, kota bogor, jawa barat 16152, indonesia",https://praktekpsikolog.com/,+62 878-8718-4585,5.0,3.0,106.8129576,-6.5817704,Jawa Barat
Palamarta Psychological Center,Psychologist,"palamarta psychological center, jl. batununggal mulia ii no.1, mengger, bandung kidul, bandung city, west java 40267, indonesia",tidak diketahui,+62 819-1162-2301,0.0,34.0,107.6309885,-6.9602223,Jawa Barat
Klinik Jiwa Masagi Medika,Mental health clinic,"klinik jiwa masagi medika, jl. pasirkoja no.42, karanganyar, kec. astanaanyar, kota bandung, jawa barat 40241, indonesia",tidak diketahui,+62 22 4207455,0.0,42.0,107.601173,-6.9268743,Jawa Barat
Darunnisa Psychological Services,Psychologist,"darunnisa psychological services, jl. cibiru hilir no.46 a, cibiru wetan, cileunyi, bandung regency, west java 40625, indonesia",https://www.instagram.com/darunnisa,+62 819-1008-8911,5.0,12.0,107.7226015,-6.9369374,Jawa Barat
Praktek Psikolog Klinis Dewasa Bandung-Seimbang.or,Psychologist,"praktek psikolog klinis dewasa bandung-seimbang.or, jl. l. l. r.e. martadinata no.157, cihapit, kec. bandung wetan, kota bandung, jawa barat 40114, indonesia",tidak diketahui,+62 822-1965-2028,5.0,12.0,107.6264668,-6.9094907,Jawa Barat
Konsultan Psikologi ''Rafaza'',Psychologist,"2wxj+5r2 konsultan psikologi ''rafaza'', jl. sudajaya, jayaraksa, kec. baros, kota sukabumi, jawa barat 43166, indonesia",tidak diketahui,+62 858-6389-9601,5.0,5.0,106.932028,-6.9521031,Jawa Barat
Bina Potensi Mandiri Biro Konsultasi Psikologi,Psychologist,"bina potensi mandiri biro konsultasi psikologi, jl. ciburial 2 no.18, rt.04/rw.04, ciparigi, kec. bogor utara, kota bogor, jawa barat 16157, indonesia",tidak diketahui,+62 251 8658268,0.0,6.0,106.8132093,-6.5470785,Jawa Barat
Yayasan Praktek Psikolog Indonesia Cabang Depok,Psychologist,"yayasan praktek psikolog indonesia cabang depok, ruko verbena - gapura office, jl. boulevard grand depok city no.9 komplek v, tirtajaya, sukmajaya, depok city, west java 16412, indonesia",http://www.praktekpsikolog.com/,+62 878-8718-4585,5.0,9.0,106.8213485,-6.4127362,Jawa Barat
Manda Center (layanan psikologi dan terapi anak hingga dewasa),Psychologist,"manda center (layanan psikologi dan terapi anak hingga dewasa), jl. griya indah no.8 blok f, rt.02/rw.14, kedungbadak, kec. tanah sereal, kota bogor, jawa barat 16164, indonesia",https://instagram.com/manda_center?igshid=1icua1km6w727,+62 877-7018-8144,0.0,20.0,106.8042079,-6.558221,Jawa Barat
"Psikolog Anak dan Remaja Farah T. Suryawan, Dra., Psi., M.Pd",Psychologist,"psikolog anak dan remaja farah t. suryawan, dra., psi., m.pd, jl. ligar agung no.69, cibeunying, cimenyan, bandung regency, west java 40191, indonesia",tidak diketahui,+62 822-2999-2609,5.0,4.0,107.6336128,-6.8780643,Jawa Barat
Yayasan Praktek Psikolog Indonesia Cabang Bandung 2,Psychologist,"yayasan praktek psikolog indonesia cabang bandung 2, esitrack, jl. pecah kopi no.22, sukaluyu, kec. cibeunying kaler, kota bandung, jawa barat 40123, indonesia",http://www.praktekpsikolog.com/,+62 812-1345-8601,0.0,2.0,107.6334394,-6.8953261,Jawa Barat
GRAHITA INDONESIA SUMEDANG,Psychologist,"grahita indonesia sumedang, komp. golden housing islamic, jl. al - mu'min no.04 blok e, kotakulon, kec. sumedang sel., kabupaten sumedang, jawa barat 45311, indonesia",http://grahita.org/,+62 815-7364-4729,5.0,35.0,107.9173524,-6.8485081,Jawa Barat
Praktek Psikolog Anisa Rahmawati,Psychiatrist,"cq7c+pjm praktek psikolog anisa rahmawati, jl. raya sindang barang, loji, rt.02/rw.12, loji, kec. bogor bar., kota bogor, jawa barat 16117, indonesia",tidak diketahui,+62 812-8785-513,0.0,5.0,106.7715347,-6.5856635,Jawa Barat
GRAHITA INDONESIA SUBANG,Psychologist,"cqr3+cx9 grahita indonesia subang, jl. bima blok sukamekar,, cigadung, kec. subang, kabupaten subang, jawa barat 41211, indonesia",http://grahita.org/,+62 853-2010-0050,0.0,4.0,107.7549966,-6.558974,Jawa Barat
SANATA Psychology And Stimulation Center,Psychologist,"sanata psychology and stimulation center, jl. sulaksana baru ii no.6, cicaheum, kec. kiaracondong, kota bandung, jawa barat 40282, indonesia",http://www.instagram.com/Sanatapsy.id,+62 822-1551-8757,5.0,13.0,107.6502117,-6.9082144,Jawa Barat
Yepeka Medika & Consultant,Psychologist,"yepeka medika & consultant, jl. anggrek no.1, ciwareng, babakancikao, purwakarta regency, west java, indonesia",tidak diketahui,+62 878-7924-0777,5.0,14.0,107.4408566,-6.5325992,Jawa Barat
Deepa Psikologi Purwakarta - Psikotes Konseling,Psychologist,"deepa psikologi purwakarta - psikotes konseling, jl. ipik gandamanah no.129, ciseureuh, kec. purwakarta, kabupaten purwakarta, jawa barat 41118, indonesia",tidak diketahui,+62 897-3475-777,0.0,18.0,107.4560301,-6.5323248,Jawa Barat
Applied Psychology Center (Pusat Psikologi Terapan P2T),Psychologist,"applied psychology center (pusat psikologi terapan p2t), jl. dr. setiabudi no.229, isola, sukasari, bandung city, west java 40154, indonesia",tidak diketahui,+62 811-2223-100,0.0,7.0,107.5908025,-6.8617917,Jawa Barat
Yogaatma Consulting Purwakarta,Psychologist,"yogaatma consulting purwakarta, perum bumi hegar asih, jln. melati no 78, ciseureuh, kec. purwakarta, kabupaten purwakarta, jawa barat 41118, indonesia",https://yogaatmapurwakarta.wordpress.com/,+62 813-8971-1997,5.0,36.0,107.4684089,-6.5190519,Jawa Barat
Biro Psikologi Personale,Psychologist,"biro psikologi personale, ruko pasar modern batununggal, jl. batununggal indah ii blok re 03, mengger, bandung kidul, bandung city, west java 40267, indonesia",http://www.personale.id/,+62 851-6165-2801,5.0,24.0,107.6247787,-6.9627251,Jawa Barat
Biro Konsultasi Psikologi Dimensi Cakrawala,Psychologist,"biro konsultasi psikologi dimensi cakrawala, raya susukan no.21, susukan, kec. susukan, kabupaten cirebon, jawa barat 45166, indonesia",tidak diketahui,+62 812-2111-563,5.0,2.0,108.3768146,-6.6326586,Jawa Barat
"Poli Psikologi, Rumah Sakit Harapan Keluarga (Anahata)",Psychologist,"poli psikologi, rumah sakit harapan keluarga (anahata), jl. rancaekek no.km, rw.20, cipacing, kec. jatinangor, kabupaten sumedang, jawa barat 45363, indonesia",tidak diketahui,+62 821-3868-1319,5.0,5.0,107.7628868,-6.9497628,Jawa Barat
Psycenter Pijar Potensia Katapang,Psychologist,"psycenter pijar potensia katapang, jl. gandasoli kidul no.1 no. 14 lantai 2, gandasari, kec. katapang, kabupaten bandung, jawa barat 40921, indonesia",tidak diketahui,+62 822-3124-7694,0.0,10.0,107.5491773,-7.0246579,Jawa Barat
Yayasan Psikologi Indonesia ( Yapsindo ),Psychologist,"yayasan psikologi indonesia ( yapsindo ), perumahan puri teluk jambe blok c12 nomor 34 , rt 010/004, sirnabaya, telukjambe timur, karawang, jawa barat 41361, indonesia",tidak diketahui,+62 896-5529-3373,5.0,3.0,107.3016187,-6.3326835,Jawa Barat
GRAHITA INDONESIA - PURWAKARTA,Psychologist,"grahita indonesia - purwakarta, perum fortuna, sukamaju no.6 blok k, campakasari, kec. campaka, kabupaten purwakarta, jawa barat 41111, indonesia",http://grahita.org/,+62 896-9431-4353,5.0,2.0,107.4838948,-6.5182074,Jawa Barat
"SIC Lembaga Psikologi Terapan, Terapi dan Pengembangan Diri",Psychologist,"sic lembaga psikologi terapan, terapi dan pengembangan diri, istana sabda alam blok c no. 2, cimanganten, tarogong kaler, garut regency, west java 44114, indonesia",http://www.forbrightfuture.com/,+62 853-2010-0050,5.0,1.0,107.8789696,-7.1823405,Jawa Barat
Hejira Psychological Consulting,Psychologist,"hejira psychological consulting, bumi sentra mas, jl. jamrud 4 blok c59, indihiang, kec. indihiang, kab. tasikmalaya, jawa barat 46151, indonesia",tidak diketahui,+62 812-2054-077,5.0,51.0,108.1986539,-7.2994194,Jawa Barat
Biro Psikolog Cirebon,Psychologist,"biro psikolog cirebon, jl. tuparev no. 34 ruko 22a, sutawinangun, kec. kedawung, kabupaten cirebon, jawa barat 45153, indonesia",tidak diketahui,tidak diketahui,5.0,2.0,108.5434119,-6.711168,Jawa Barat
Anugerah Nusa Dinamika,Psychologist,"anugerah nusa dinamika, ruko city square, jl. abdul rahman saleh no.22 blok c, husen sastranegara, kec. andir, kota bandung, jawa barat 40174, indonesia",http://www.and-lc.com/,+62 22 6125446,5.0,205.0,107.5852232,-6.9077152,Jawa Barat
Konseling Tasikmalaya,Psychologist,"konseling tasikmalaya, perum griya setia asri no.b24, setiamulya, kec. tamansari, kab. tasikmalaya, jawa barat 46196, indonesia",tidak diketahui,+62 821-2249-5928,0.0,9.0,108.2293519,-7.3850552,Jawa Barat
Konsultan Psikologi - PT. Prognosis Mitra Karsa,Psychologist,"konsultan psikologi - pt. prognosis mitra karsa, jl. cipaganti no.39, pasteur, sukajadi, bandung city, west java 40161, indonesia",http://www.prognosis.co.id/,+62 812-1274-2967,5.0,3.0,107.6020381,-6.8987838,Jawa Barat
Konsultasi Psikologi Eyckman,Psychologist,"konsultasi psikologi eyckman, jl. prof. eyckman no.30, pasteur, kec. sukajadi, kota bandung, jawa barat 40161, indonesia",tidak diketahui,+62 811-223-526,0.0,3.0,107.6001503,-6.896043,Jawa Barat
Lira Psikologi Tasikmalaya,Psychologist,"lira psikologi tasikmalaya, jl. panglayungan ii, panglayungan, kec. cipedes, kab. tasikmalaya, jawa barat 46134, indonesia",http://nsholihat.wordpress.com/,+62 896-6528-8950,0.0,18.0,108.2185805,-7.3198806,Jawa Barat
Biro Psikologi Metamorfosis,Psychologist,"biro psikologi metamorfosis, jl. raya sawangan no.42 a, mampang, pancoran mas, depok city, west java 16436, indonesia",http://www.halometa.com/,+62 812-9086-2527,0.0,7.0,106.7996854,-6.3948757,Jawa Barat
